品牌公寓馆,1253
阳光大单间   毕业季特惠  应届生押一,900
大浪 免中介 豪华装修 电梯 设施齐全 拎包入住,700
万科房东直租地铁六号线 精装北欧风格单身公寓 拎包入住,1298
阳关单间  通风透光超好  品牌直租  0中介 拎包入住,1080
（急租）马安山地铁站单间 独立大阳台,1080
房东直租 大阳台 家私家电齐全 停车位充足,1280
固戍地铁站600米首次招租落地窗厨房卧室隔开,660
龙华福城街道 整租 精装 拎包入住 公寓 交通便利 押一付一,1080
南山西丽麻磡公寓 电梯公寓 品牌公寓 拎包入住 免租5天！,1198
万科泊寓 横岗华茂公社 一室一卫 独立阳台,890
后瑞地铁站精装修单身公寓，家私家电齐全，拎包入住,1080
固戍地铁站500米 新理想独立厨卫 拎包入住  干净清爽,800
龙华三联  新城市花园  出门就有公交车站台  交通方便,1380
希林公寓大浪商业中心拎包入住管家服务无,1380
希林公寓直租无中介龙胜地铁口高峰中学附近拎包入住,1280
租房优惠固戍地铁附近 性价比 高免中介 有阳台,1198
横岗地铁站 荣德国际 精装单间 个人直租 家电齐全 拎包入住,1200
流塘阳光50米沃尔玛天虹,700
房东直租新装修公寓免费停车南北通透实木地板飘窗加浴缸拎包入住,1100
1号线单间，一房一厅配套家私家电，交通生活便利，舒适拎包入住,1050
没有什么能够阻挡，超优的质量，房源的向往，精装公寓，拎包入住,1180
[整租]整租|3号线7站不换乘直达东门老街，布吉丹竹头地铁口,1100
真实图片，真实价格，带大阳台，离爱联地铁站300米，拎包入住,730
房东直租 爱联地铁站，单间 一室一厅，拎包入住，可做饭,1280
龙华中心  直租碧桂园精装一房 家电网络齐全 可短租 有车位,1800
承翰半山海景一线精装配齐出租！,1390
西乡地铁站 房东直租 性价比高 配套齐全 免押入住,1299
业主直.租西乡深业U中心旁 伐木累青年社区鹤州 强荣东汽车站,1300
西乡固戍地铁站一千米青年公寓单间招租,1200
近宝安大道交通便利去哪都方便，单间采光无敌带大阳台直租,1199
新房大单间出租，错过就没有了,1593
大空间套房 拎包入住 0中介,750
爱联地铁站旁 精装公寓 家私家电齐全 可拎包入住,1380
西乡固戍地铁站400米旁精装电梯公寓火爆招租中,1350
毕业生每月200京东卡 近深圳第二外国语学院 家具齐全,600
该出手时就出手，犹豫一下就没有，豪华公寓，全新配置，免费上网,1250
可短租 毕业生立减 北欧摩登风 高档电梯房 拎包入住,1300
好房不等人，预定从速,1300
采光好电梯房精装修单间1300起租,800
全新家电家私全齐，拎包入住。独立厨房，还有大阳台，阳光好,7200
性价比秒杀自贸区 前海时代精装两房 全齐拎包入住  空出急租,5900
大新地铁 稀缺一室 装修新颖 双阳台 东方银座 等你来定,6800
东方银座 历史最低价 精装复室 业主诚租 值得一瞧,3900
近罗湖口岸，采光极好，安静舒适，户型方正，面积使用大,2980
固戍福华大厦 2室1厅1卫,2388
科技园 近科兴 腾讯  20803580南北通透 随时看房,9500
科技园精装修两房一手房东 家私家电齐全 拎包入住,3885
金地金谷公寓 拎包入住 方大城旁,1000
个人直租！坂田地铁口 单间一房一厅公寓 配置齐全拎包入住,1000
羊台新村 1室0厅1卫,5000
水库 东乐花园 2房两厅 精装 5000 家私齐全 看房方便,650
平湖亿佰家附近少量精装修单间一房一厅出租，交通便利，拎包入住,980
乐乎有朋8号公寓 1室1厅1卫,2880
中商花园旁 近宝安大道 新装修公寓房 单间 大单间 一栋任选,1788
近宝安机场精装修带家电 日系风格 配套齐全 押一付一,1000
西乡固戍地铁站精装公寓带独立厨卫采光好家私家电齐全 1室0厅1,1280
3号线草埔地铁口附近  紫荆花园旁单身青年公寓出租 家私齐全,1500
新园路 2室1厅1卫,1000
0中介 五和地铁口长发新村 单间，一房一厅，拎包入住,9500
润恒尚园 东南朝向高楼层 户型方正赠送多全齐家私电器出租,550
平湖华南城附近特价单单出租，交通便利，拎包入住,7000
水库 七号线 百仕达二期 户型方正 精装修 价格有空间,600
龙岗中心城  东森花园附近出租家私齐全单间 1室0厅1卫,650
平湖华南城附近特价单房一房出租，交通便利，拎包入住,900
整租|深圳北站附近地铁站 大小单间 一房两房直租 可直达福田,1000
华南城1号馆 1室0厅1卫,800
整租 塘坑地铁口单间 电梯房采光极好 周围繁华 大型超市,1300
下沙大量单间，一房一厅，两房一厅等，随时可以联系我,520
公寓房，房东东直招拎包入住，大单间光线好阳台大。,650
房东直租 大小单间 精装修,1000
华南城青创+ 1室0厅1卫,600
龙华大浪 凯宾新村  大单间直租  家私家电齐全 拎包即住,1000
塘坑新村精装修公寓拎包入住，还有少量房源,1380
龙胜地铁600米复式电梯房独立卫生间家私家电齐全拎包入住,1300
上星村头市场新原路43号 1室1厅1卫,1000
中环花园 1室0厅1卫,990
龙华大浪菠萝斜新村，单间一房一厅，拎包入住，房东招租,7200
水库 7号线 百仕达一期 两房 全新装修 家电齐全 手慢无,1500
布吉大靓花园 一房一厅,1360
坪洲地铁站单身公寓  家私家电齐全拎包入住,450
房东直租 3号线 荷坳站 大小单间可选 家私齐全 免费停车,1160
机场 后瑞地铁站 袋鼠社区 管家直租,1980
房东直租 康扬创客谷精装loft公寓，依山伴水，拎包入住,1788
庭院式公寓 全程智能安防 独立卫浴 品牌运营商 非中介,1499
坂田地铁口，首月入住6折，家私齐全，独立厨卫，免中介.,3990
来福士广场 0中介实拍停车位足 双阳台大落地窗无敌园景,5300
翠竹 3号线 新港鸿花园 2房 豪华装修 带私电 看房方便,2359
龙湖品牌 拎包入住  无中介 押一付一 智能化社区,1270
机场 后瑞地铁站 袋鼠社区公寓 管家直租,600
3号线横岗地铁A出口 精美公寓 交通便利 环境优美 网络覆盖,12000
俊峰丽舍 繁华地段 精装大4房 两卫 超大阳台 采光通风好,700
爱联3号线 家私家电齐全 直接入住 房东直租 带阳台 可做饭,2300
租的不是房子，是个家，二人世界的天堂欢迎来电,1000
OYO风景青年公寓 1室0厅1卫,2750
黄金山小区坂田西村 大客厅 大阳台 2室2厅1卫,600
松岗地铁口 房东招租全新单间 对外招租 拎包入住,1200
布沙路 1室0厅1卫,1500
"个人直租房,全是拎包入住,全是带家电,有需要的可以联系我",1000
一号线西乡固戍地铁站大小单间一房一厅 1室0厅1卫,3500
整租中城康桥花园一期 龤室龒厅 东南,2200
自由路 1室1厅1卫,1360
"地铁口拎包入住,独立厨房卫生间，带阳台，光纤上网，专人管",12800
"加福广场3室,户型正气,装修干净清爽,价格聚划算啊!!!",6200
物业直租 鸿荣源壹城中心九区 龙华地铁口 壹方天地,3300
佳兆业假日广场，房间漂亮，采光通风，精装齐全，拎包入住,4000
梧桐山脚下东方风雅台精装2房放租看房便利,4000
布吉慢城 实惠电梯三房 家私电器齐全  客厅出阳台 看房方便,2800
金玲花园 1室1厅1卫,4800
金茂礼都 一房一厅出租 楼层采光好 可 看房方便,1980
近1号宝安中心地铁站 时尚电梯公寓 家私电齐全 随时方便看房,4200
平湖茗萃园，精装4房，房子户型方正，可以满足大家庭的居住！,11500
海岸城旁 蔚蓝海岸三期 业主一直自住 出租 近人才公园,1400
恒丰工业城 1室0厅1卫,3485
租房优惠 后海 后海雅园 性价比高 押一付一 有阳台,1080
万象新天三期 1室0厅1卫,4500
渔二村 1室1厅1卫,3000
奥园翡翠东湾 3室2厅1卫,850
时光里 1室0厅1卫,13000
侨香公馆 4室2厅2卫 拎包入住,9500
百闻不如一见！71.00平精装修东献给懂得享受得你,3000
松岗义乌 前进公社85平大两房 带全家电出租3500,5000
四季御园 精装两房 口岸物业 拎包入住,850
新和一区八巷 1室0厅1卫,5300
桃园地铁站 田厦翡翠明珠 一房一厅书房 全齐租金5千3,3300
红山地铁口润达圆庭公寓，九方旁边，奢华装修，家私全齐！,4900
联投东方精装三房全齐出租，业主自住标准,1400
天安云谷附近 出行便利 雪象总站,7200
清湖地铁口 幸福城高端小区精装大四房 车位充足 邻ico,3500
青春庭园 1室1厅1卫,2310
便宜的房子，2000一个月，快来抢咯,3300
佳兆业茗萃园三房出租3300  高层视野好采光极强 舒适温馨,880
历史新低！800起龙华高端公寓 押一付一 近轻轨站 带健身房,1550
航空路 1室0厅1卫,10000
桃园地铁口 荔林春晓 精装四房 客厅出阳台看花园 安静舒适,650
石岩新村 1室0厅1卫,6500
花果山小区 住家装修俩房，南北通透，家私家电齐全。,1800
坳一村办公楼附近 斜对面美佳福百货 房屋直租 精装修带楼顶花,1520
南新路 2室1厅2卫,600
